filter_name,mappings
csw-fmc-org,172.16.102.31/32
csw-fmc-org,34.69.98.92/32
csw-fmc-org,10.128.2.1/23
csw-fmc-org,10.0.3.10/32
csw-fmc-org,10.110.0.77/32
csw-fmc-org,172.26.0.175/32
csw-fmc-org,192.168.208.25/32
csw-fmc-org,10.67.0.36/32
csw-fmc-org,192.168.11.32/32
csw-fmc-org,10.0.0.3/32
csw-fmc-org,192.168.10.159/24
csw-fmc-org,10.67.1.30/32
csw-fmc-org,10.128.2.2/32
csw-fmc-org,10.137.1.24/32
csw-fmc-org,10.0.223.10/32
csw-fmc-org,10.224.0.129/16
csw-fmc-org,10.67.1.161/32
csw-fmc-org,10.128.2.69/32
csw-fmc-org,10.0.0.10/32
csw-fmc-org,10.67.0.184/32
csw-fmc-org,172.29.0.15/32
csw-fmc-org,10.189.0.141/32
csw-fmc-org,192.168.18.7/32
csw-fmc-org,10.0.111.10/32
csw-fmc-org,10.67.0.180/32
csw-fmc-org,192.168.1.6/24
csw-fmc-org,10.110.0.69/32
csw-fmc-org,192.168.52.12/32
csw-fmc-org,10.110.0.133/32
csw-fmc-org,172.17.0.4/32
csw-fmc-org,172.20.0.1/32
csw-fmc-org,172.26.0.251/32
csw-fmc-org,192.168.5.102/32
csw-fmc-org,192.168.72.201/32
csw-fmc-org,192.168.208.17/32
csw-fmc-org,10.110.0.73/32
csw-fmc-org,10.111.2.10/32
csw-fmc-org,192.168.208.21/32
csw-fmc-org,10.0.35.62/32
csw-fmc-org,10.0.3.16/32
csw-fmc-org,172.17.66.0/32
csw-fmc-org,172.20.0.123/32
csw-fmc-org,172.26.0.117/32
csw-fmc-org,172.26.0.181/32
csw-fmc-org,192.168.12.7/32
csw-fmc-org,192.168.77.104/32
csw-fmc-org,10.67.0.31/32
csw-fmc-org,10.130.0.32/32
csw-fmc-org,34.69.98.87/32
csw-fmc-org,172.16.102.26/32
csw-fmc-org,172.26.0.170/32
csw-fmc-org,10.255.12.47/24
csw-fmc-org,34.69.98.98/32
csw-fmc-org,192.168.77.5/32
csw-fmc-org,10.120.213.11/32
csw-fmc-org,172.16.101.15/32
csw-fmc-org,10.0.0.0/8
csw-fmc-org,192.168.26.0/27
csw-fmc-org,192.168.29.0/24
csw-fmc-org,192.168.16.0/24
csw-fmc-org,10.255.7.0/24
csw-fmc-org,10.0.23.17/32
csw-fmc-org,10.42.0.1/32
csw-fmc-org,10.255.2.238/32
csw-fmc-org,172.26.0.51/32
csw-fmc-org,10.244.2.0/32
csw-fmc-org,192.168.4.4/32
csw-fmc-org,172.20.0.60/24
csw-fmc-org,10.110.0.37/32
csw-fmc-org,10.111.1.5/32
csw-fmc-org,10.120.213.16/32
csw-fmc-org,172.16.100.201/32
csw-fmc-org,172.26.0.219/32
csw-fmc-org,192.168.1.2/32
csw-fmc-org,192.168.19.20/32
csw-fmc-org,10.0.2.10/32
csw-fmc-org,10.128.0.8/32
csw-fmc-org,10.130.0.6/32
csw-fmc-org,172.26.0.144/32
csw-fmc-org,10.142.15.212/32
csw-fmc-org,10.67.0.176/32
csw-fmc-org,10.67.0.0/24
csw-fmc-org,172.16.0.0/12
csw-fmc-org,10.130.2.0/24
csw-fmc-org,10.67.0.161/24
csw-fmc-org,172.20.11.113/32
csw-fmc-org,172.26.0.64/32
csw-fmc-org,172.26.0.128/32
csw-fmc-org,10.244.4.1/32
csw-fmc-org,10.255.2.52/32
csw-fmc-org,172.16.102.41/32
csw-fmc-org,10.40.100.62/32
csw-fmc-org,10.67.1.32/32
csw-fmc-org,10.67.2.1/32
csw-fmc-org,10.128.2.4/32
csw-fmc-org,192.168.10.160/24
csw-fmc-org,10.67.0.0/32
csw-fmc-org,10.139.2.111/32
csw-fmc-org,10.128.0.3/32
csw-fmc-org,10.130.0.1/32
csw-fmc-org,10.224.0.99/32
csw-fmc-org,10.224.0.163/32
csw-fmc-org,172.17.0.1/16
csw-fmc-org,172.17.0.1/16
csw-fmc-org,192.168.10.6/32
csw-fmc-org,172.17.0.1/16
csw-fmc-org,172.29.0.27/32
csw-fmc-org,173.36.206.3/32
csw-fmc-org,192.168.108.16/32
csw-fmc-org,192.168.10.52/24
csw-fmc-org,192.168.16.189/19
